tag,sp,gx,gy,dbh
131114,Palicourea riparia,NA,NA,11.5
131117,Tetragastris balsamifera,81.36,490.82,13
131118,Syzygium jambos,82.35,491.27,11
131119,Byrsonima spicata,NA,NA,13
162,Dacryodes excelsa,104.39,1.15,268
163,Dacryodes excelsa,102.66,7.49,409
164,Dacryodes excelsa,100.45,8.59,341
165,Manilkara bidentata,102.32,13.13,166
167,Guettarda valenzuelana,106.39,15.4,127
168,Sapium laurocerasus,106.19,16.52,273
169,Manilkara bidentata,106.78,13.14,280
174,Manilkara bidentata,108.83,2.73,176
175,Manilkara bidentata,106.78,1.05,465
176,Dacryodes excelsa,112.54,0.37,406
178,Croton poecilanthus,112.58,6.57,124
179,Sloanea berteriana,111.43,7.21,153
181,Dendropanax arboreus,112.67,12.39,267
185,Croton poecilanthus,113.98,18.03,197
186,Croton poecilanthus,113.48,19.46,211
187,Chione venosa,112.36,19,200
188,Croton poecilanthus,108.3,16.59,132
192,Sloanea berteriana,118.69,13.66,156
194,Sapium laurocerasus,119.19,10.24,379
195,Sloanea berteriana,119.68,9.3,120
198,Dacryodes excelsa,115.17,2.96,357
199,Dacryodes excelsa,115.34,1.81,301
201,Sloanea berteriana,118.01,1.24,103
1778,Sloanea berteriana,111.98,6.95,105
7411,Schefflera morototoni,NA,NA,18.7
7412,Sloanea berteriana,112.17,3.26,77
7413,Sloanea berteriana,111.01,2.74,74
7424,Andira inermis,117.63,1.24,46.3
7426,Drypetes glauca,NA,NA,55
7434,Sloanea berteriana,116.84,2.58,54
7435,Cecropia schreberiana,NA,NA,17
7436,Piper glabrescens,NA,NA,14
7438,Eugenia stahlii,114.77,9.34,13.7
11420,Sloanea berteriana,107.76,11.48,42
11422,Myrcia deflexa,107.7,6.05,24.2
11423,Cordia borinquensis,106.58,15.12,59.6
11449,Palicourea riparia,105.23,12.5,14.5
11468,Palicourea riparia,NA,NA,15
11478,Guettarda valenzuelana,107.4,15.24,69.5
11483,Sloanea berteriana,101.58,1.04,41
11484,Palicourea riparia,NA,NA,12.1
11485,Cordia borinquensis,102.34,3.26,22.4
11488,Sloanea berteriana,NA,NA,14.8
11492,Palicourea riparia,104.44,6.45,15
11493,Tetragastris balsamifera,NA,NA,41.1
11494,Sloanea berteriana,100.4,7.56,50
11495,Palicourea riparia,NA,NA,26.7
11497,Dacryodes excelsa,103.11,8.68,116
11499,Casearia arborea,101.41,3.55,89
11505,Casearia sylvestris,103.78,10.24,44
11506,Palicourea riparia,NA,NA,16.5
11516,Cordia borinquensis,100.69,14.48,63.1
11553,Palicourea riparia,100.12,10.3,14
11569,Manilkara bidentata,100.39,7.96,95
11571,Byrsonima spicata,104.89,13.93,27.5
11574,Palicourea riparia,NA,NA,14.1
11579,Sloanea berteriana,101.68,10.45,61.3
11581,Schefflera morototoni,101.27,10.97,18.4
11582,Palicourea riparia,NA,NA,11
11583,Inga laurina,100.4,8.25,39
16204,Tetragastris balsamifera,105.88,1.88,63.1
16207,Manilkara bidentata,106.41,2.27,64
16210,Calycogonium squamulosum,NA,NA,11.5
16212,Palicourea riparia,NA,NA,18
16213,Palicourea riparia,NA,NA,16
16214,Palicourea riparia,NA,NA,31.5
16217,Tetragastris balsamifera,106.08,2.13,24
16218,Eugenia stahlii,NA,NA,15
16221,Dacryodes excelsa,109.11,2.61,38
16227,Cordia borinquensis,109.41,3.91,20.4
16229,Cordia borinquensis,106.99,4.33,27
19908,Trichilia pallida,100.31,16.84,61
19910,Sloanea berteriana,105.07,15.68,56.5
40421,Sloanea berteriana,100.43,8.43,36.5
40424,Palicourea riparia,NA,NA,12.5
40425,Tetragastris balsamifera,103.94,6.76,45.5
40430,Palicourea riparia,105.51,5.08,12.5
40431,ARDGLA,108.02,0.17,14.5
40434,Psychotria berteriana,NA,NA,11
1167,Dacryodes excelsa,106.01,38.83,389
1169,Manilkara bidentata,106.2,36.2,204
1170,Dacryodes excelsa,109.84,36.48,209
1171,Manilkara bidentata,107.7,28.37,188
1172,Manilkara bidentata,107.84,28.03,262
1173,Inga vera,109.45,27.46,250
1179,Dacryodes excelsa,111.42,37.35,565
1181,Dacryodes excelsa,118.21,39.55,450
1182,Dacryodes excelsa,118.51,39.87,138
1183,Tetragastris balsamifera,115.83,36.69,231
1184,Laetia procera,117.42,35.99,192
1186,Dacryodes excelsa,119.56,31.45,360
1189,Manilkara bidentata,118.47,27.99,149
7443,Tetragastris balsamifera,109.71,39.58,42
7445,Sloanea berteriana,119.42,31.25,31.8
7446,Sloanea berteriana,119.21,31.83,13.1
7457,Tetragastris balsamifera,105.98,36.44,75
7458,Sloanea berteriana,117.49,32.36,14.7
7459,Palicourea riparia,NA,NA,13.1
7462,Schefflera morototoni,NA,NA,14.4
8454,Alchorneopsis floribunda,NA,NA,12.4
8455,Andira inermis,104.04,39.04,40.9
8457,Piper glabrescens,NA,NA,11
8458,Sloanea berteriana,100.42,37.92,13
8459,Piper glabrescens,NA,NA,10.8
8462,Alchornea latifolia,100.51,35.44,23.1
8466,Sloanea berteriana,100.55,37.53,17.5
8468,Swietenia macrophylla,103.27,34.35,15.2
8470,Cecropia schreberiana,102.97,36.46,98
8472,Psychotria brachiata,102.81,38,14.9
8496,Cecropia schreberiana,NA,NA,26
9191,Dacryodes excelsa,118.98,26.26,54
11503,Dendropanax arboreus,NA,NA,17.6
11510,Piper hispidum,NA,NA,13.5
11512,Psychotria deflexa,NA,NA,13.6
11517,Cecropia schreberiana,105.28,26.94,42
11519,Psychotria berteriana,NA,NA,34.4
11521,Psychotria berteriana,NA,NA,15
11524,Psychotria deflexa,NA,NA,14.5
11525,Tetragastris balsamifera,105.89,35.09,79
11547,Palicourea riparia,NA,NA,12.6
11548,Guarea guidonia,106.88,34.31,17
11562,Piper amalago,NA,NA,14.2
11585,Psychotria berteriana,109.4,20.72,14.2
11600,Palicourea riparia,NA,NA,23.7
18428,Palicourea riparia,118.97,36.58,13
18429,Psychotria berteriana,116.87,27.58,19.9
18430,Psychotria berteriana,NA,NA,13.2
18447,Myrcia leptoclada,114.66,35.01,12.8
18448,Cordia borinquensis,111.7,37.94,48
18449,Casearia sylvestris,114.86,29.7,91
18451,Meliosma herbertii,NA,NA,30.2
18452,Cordia borinquensis,NA,NA,61
18453,Tetragastris balsamifera,111.42,37.52,53
18454,Psychotria berteriana,NA,NA,19.8
18455,Myrcia deflexa,115.33,35.62,24.4
18457,Myrcia leptoclada,111.52,37.23,30.2
18458,Sloanea berteriana,114.93,32.24,37.1
18459,Sloanea berteriana,111.79,37.33,90
18491,Croton poecilanthus,119.43,34.89,72
18492,Casearia arborea,119.18,35.9,32.8
18493,Cordia borinquensis,114.51,31.17,91
18495,Dacryodes excelsa,115.39,36.26,28.4
18499,Cordia sulcata,117.69,27.84,80
18500,Palicourea riparia,NA,NA,16.8
19076,Psychotria berteriana,NA,NA,41
19077,Byrsonima spicata,102.97,24.45,62
19078,Casearia sylvestris,103.11,23.61,25.6
19079,Psychotria berteriana,NA,NA,21.2
19081,Psychotria berteriana,NA,NA,12.5
19082,Psychotria berteriana,102.99,25.85,29.3
19083,Inga laurina,102.34,25.54,47
19087,Inga laurina,101.6,26.59,54
19089,Piper glabrescens,NA,NA,11.1
19090,Ixora ferrea,100.92,28.16,17.4
19092,Piper glabrescens,NA,NA,10.8
19095,Cecropia schreberiana,101.18,30.42,69
19098,Tabebuia heterophylla,104.42,32.43,10.6
50495,Psychotria berteriana,NA,NA,10.3
50496,Eugenia stahlii,112.49,24.85,10.4
50500,Guarea glabra,113.04,39.8,30
50548,Hirtella rugosa,115.19,39.77,23.6
50558,Palicourea riparia,118.15,27.81,13.9
50559,Palicourea riparia,118.33,27.88,12
50560,Palicourea riparia,118.15,27.68,10.3
50561,Palicourea riparia,NA,NA,12.2
50562,Palicourea riparia,118.1,27.45,10.6
50565,Psychotria brachiata,118.86,29.75,10.3
50566,Psychotria brachiata,NA,NA,10.2
50567,Palicourea riparia,117.76,23.7,11.2
55267,Casearia sylvestris,102.85,23.27,10.6
55287,Piper glabrescens,NA,NA,10.5
55296,Psychotria berteriana,NA,NA,13.2
55298,Piper glabrescens,NA,NA,10.2
55299,Piper glabrescens,NA,NA,10.3
55545,Ocotea leucoxylon,NA,NA,13.2
55943,Schefflera morototoni,NA,NA,14.4
55944,Myrcia splendens,100.07,36.81,13.2
55945,Palicourea riparia,NA,NA,16.7
55946,Palicourea riparia,NA,NA,13.1
55947,Palicourea riparia,NA,NA,14.6
55948,Piper glabrescens,NA,NA,10.2
55950,Psychotria berteriana,NA,NA,10.7
55953,Dendropanax arboreus,107.29,25.97,62
55955,Psychotria berteriana,NA,NA,10.6
2161,Drypetes glauca,104.58,44.46,181
2163,Alchornea latifolia,104.5,48.49,160
2166,Manilkara bidentata,102.78,56.37,264
2167,Manilkara bidentata,107.82,58.86,111
2168,Manilkara bidentata,107.73,55.06,396
2169,Dacryodes excelsa,106.34,54.15,490
2170,Sloanea berteriana,105.37,54.42,177
2172,Manilkara bidentata,108.64,50.76,306
2173,Manilkara bidentata,109.96,54.61,228
2174,Casearia sylvestris,106.59,46.61,144
2175,Manilkara bidentata,106.02,48.99,118
2176,Inga vera,109.5,43.69,236
2177,Dacryodes excelsa,110.66,42.58,210
2178,Ixora ferrea,109.84,50.2,109
2179,Manilkara bidentata,111.27,58.99,123
2183,Sapium laurocerasus,117.1,44.12,235
2184,Tabebuia heterophylla,119.74,43.94,137
8135,Cordia borinquensis,115.84,43.84,16.4
8137,Myrcia deflexa,115.07,44.81,24
8138,Sloanea berteriana,115.19,44.91,82
8142,Palicourea riparia,116.89,45.26,15
8154,Sloanea berteriana,119.65,58.87,18.4
8157,Palicourea riparia,NA,NA,10.4
8158,Tetragastris balsamifera,116.21,59.4,96
8207,Hirtella rugosa,114.08,41.97,33
8208,Casearia sylvestris,112.99,42.54,77
8209,Ixora ferrea,111.84,44.96,68
8211,Drypetes glauca,111.3,41.01,71
8212,Guarea glabra,114.2,41.69,21
8213,Myrcia leptoclada,114.18,52.23,52
8215,Psychotria berteriana,NA,NA,16
8216,Dacryodes excelsa,112.01,48.62,18
8217,Cordia borinquensis,113.32,50.39,82
8219,Psychotria berteriana,NA,NA,19
8221,Sloanea berteriana,113.48,54.77,84
8224,Schefflera morototoni,NA,NA,14
8225,Guarea glabra,110.15,43.33,53
8226,Schefflera morototoni,NA,NA,12
8230,Guarea glabra,NA,NA,26
8236,Hirtella rugosa,114.09,42.57,28
8256,Casearia sylvestris,111.15,47.46,74
8419,Dacryodes excelsa,118.53,40.35,81
8427,Palicourea riparia,NA,NA,12
8476,Hirtella rugosa,NA,NA,20
8490,Manilkara bidentata,109.94,59.25,85
9316,Eugenia stahlii,113.56,44.46,17
9333,Palicourea riparia,NA,NA,15
9335,Palicourea riparia,NA,NA,13
9338,Manilkara bidentata,105.92,54.47,65
9342,Tetragastris balsamifera,109.75,54.93,41
11433,Tetragastris balsamifera,104.96,54.02,26
15601,Palicourea riparia,102.54,48.03,18
15605,Eugenia stahlii,103.3,46.75,33
15607,Dacryodes excelsa,102.34,46.73,40
15609,Sloanea berteriana,104.56,42.75,66
15620,Palicourea riparia,NA,NA,13
15621,Palicourea riparia,NA,NA,11
15622,Palicourea riparia,NA,NA,13
15647,Palicourea riparia,NA,NA,16
15650,Cordia borinquensis,NA,NA,67
15651,Cecropia schreberiana,NA,NA,41
15652,Schefflera morototoni,NA,NA,12.3
15654,Miconia prasina,102.04,59.77,13
15658,Sloanea berteriana,103.53,54.91,40
15664,Sloanea berteriana,118.01,40.53,48
15672,Piper glabrescens,NA,NA,11
15695,Palicourea riparia,NA,NA,14
15696,Schefflera morototoni,NA,NA,11
15697,Schefflera morototoni,NA,NA,15
23217,Eugenia stahlii,NA,NA,12.4
33911,Psychotria berteriana,NA,NA,14.3
33912,Palicourea riparia,109.94,55.31,12.2
50810,Palicourea riparia,NA,NA,11
50844,Schefflera morototoni,NA,NA,12
2672,Sloanea berteriana,102.45,61.43,101
2673,Tetragastris balsamifera,103.88,60.63,141
2674,Homalium racemosum,101.99,66.97,160
2675,Manilkara bidentata,101.99,68.19,380
2678,Guarea guidonia,103.06,77,306
2681,Manilkara bidentata,106.87,76.91,142
2684,Sloanea berteriana,105.7,62.17,118
2685,Dacryodes excelsa,110.24,63.58,616
2686,Dacryodes excelsa,112.5,64.92,253
2687,Casearia arborea,113.94,65.97,163
2690,Sloanea berteriana,112.92,73.96,127
2692,Manilkara bidentata,110.05,77.42,293
2693,Manilkara bidentata,113.61,79.12,177
2694,Sloanea berteriana,119.27,78.79,154
2696,Dacryodes excelsa,119.06,69.04,330
2697,Sloanea berteriana,118.11,65.11,269
2698,Alchorneopsis floribunda,119.96,60.66,347
23186,Sloanea berteriana,102.15,60.35,14.4
23189,Calycogonium squamulosum,102.47,65.73,34.2
23193,Sloanea berteriana,101.11,69.89,69
23199,Casearia sylvestris,106.24,79.91,74
23206,Matayba domingensis,104.75,60.64,103
23211,Sapium laurocerasus,NA,NA,10.1
23212,Piper glabrescens,NA,NA,10.8
23213,Palicourea riparia,NA,NA,20
23215,Myrcia leptoclada,106.94,60.53,35.2
23216,Byrsonima wadsworthii,110.36,60.65,140
23218,Manilkara bidentata,110.83,60.47,175
23219,Palicourea riparia,106.95,64.62,22.7
23220,Eugenia stahlii,106.83,63.35,12.6
23221,Sloanea berteriana,105.79,61.79,38.4
23222,Manilkara bidentata,106.72,61.9,84
23223,Manilkara bidentata,105.5,60.91,19.7
23224,Myrcia leptoclada,106.06,60.32,11.3
23227,Palicourea riparia,NA,NA,12.7
23228,Sloanea berteriana,112.48,65.59,41.8
23229,Trichilia pallida,NA,NA,32.1
23230,Dacryodes excelsa,NA,NA,36.7
23231,Sloanea berteriana,114.17,65.83,46.5
23233,Cecropia schreberiana,NA,NA,55
23235,Hirtella rugosa,111.21,68.06,11.6
23237,Dacryodes excelsa,111.43,68.45,34.9
23238,Manilkara bidentata,113.06,70.07,66
23239,Sloanea berteriana,112.54,70.4,16.1
23240,Dacryodes excelsa,113.33,65.61,22.7
23241,Sloanea berteriana,113.87,65.73,79
23244,Psychotria berteriana,NA,NA,16.3
23245,Hirtella rugosa,115.44,65.07,101
23249,Piper glabrescens,NA,NA,14.3
23252,Cecropia schreberiana,NA,NA,32.5
23257,Psychotria berteriana,NA,NA,11
23261,Piper glabrescens,NA,NA,11.1
23267,Piper glabrescens,NA,NA,13.1
23268,Piper glabrescens,NA,NA,12.9
23269,Psychotria berteriana,NA,NA,15.4
23275,Garcinia portoricensis,119.56,67.74,22.5
23283,Psychotria berteriana,NA,NA,23.5
23285,Sloanea berteriana,118.22,74.17,55
44299,Sloanea berteriana,NA,NA,10.5
44692,Psychotria berteriana,NA,NA,11
44693,Alchornea latifolia,NA,NA,11
44695,Psychotria brachiata,NA,NA,13.3
44696,Psychotria brachiata,NA,NA,12.3
3624,Manilkara bidentata,101.36,80.27,110
3625,Manilkara bidentata,101,83.08,105
3626,Dacryodes excelsa,101.41,83.52,356
3627,Dacryodes excelsa,103.02,84.62,395
3629,Dacryodes excelsa,104.96,86.52,150
3630,Sloanea berteriana,100.99,92.95,142
3633,Sloanea berteriana,100.56,96.37,247
3634,Dacryodes excelsa,101.67,96.68,501
3635,Dacryodes excelsa,108.01,99.82,672
3636,Dacryodes excelsa,107.5,96.97,208
3637,Dacryodes excelsa,106.91,95.08,394
3640,Manilkara bidentata,106.3,84.88,202
3643,Dacryodes excelsa,112.97,85.09,641
3644,Sloanea berteriana,114.15,88.23,127
3646,Dacryodes excelsa,114.01,91.99,186
3647,Dacryodes excelsa,112.94,93.13,114
3649,Dacryodes excelsa,111.51,94.83,247
3650,Dacryodes excelsa,113.66,95.23,568
3651,Dacryodes excelsa,111.02,98,231
3652,Dacryodes excelsa,114.55,99.51,640
3653,Manilkara bidentata,116.64,98.63,193
3654,Manilkara bidentata,116.01,97.44,154
3656,Sloanea berteriana,116.39,92.12,155
19933,Manilkara bidentata,114.51,98.54,68
19936,Matayba domingensis,113.4,96.23,45.4
19937,Cordia borinquensis,113.66,95.81,35.6
19938,Ixora ferrea,113.84,95.98,14.4
19939,Meliosma herbertii,112.53,95.73,22.7
19940,Hirtella rugosa,113.38,95.49,30.2
19941,Dacryodes excelsa,112.11,95.31,97
19944,Sloanea berteriana,111.12,97.17,36.1
19945,Hirtella rugosa,110.31,96.81,14.5
19946,Psychotria berteriana,NA,NA,13
19947,Byrsonima spicata,110.66,95.17,15.6
19952,Dacryodes excelsa,112.46,93.99,55
19953,Psychotria berteriana,111.94,93.47,16.4
19954,Tetragastris balsamifera,111.68,93.49,39.6
19957,Psychotria berteriana,110.44,92.46,16.4
19958,Sloanea berteriana,111.99,91.85,40.6
19959,Sloanea berteriana,113.67,92.07,30.8
19962,Sloanea berteriana,110.13,91.99,51
19965,Psychotria berteriana,NA,NA,19.4
19966,Psychotria berteriana,NA,NA,16
19969,Sloanea berteriana,110.32,90.16,41.1
19971,Psychotria berteriana,NA,NA,15.5
19972,Psychotria berteriana,NA,NA,14
19973,Psychotria berteriana,112.62,88.08,23.1
19974,Sloanea berteriana,112.35,88.21,26.3
19975,Psychotria berteriana,112.1,87.49,26.9
19976,Psychotria berteriana,NA,NA,18.2
19977,Sloanea berteriana,113.25,85.88,39.2
19979,Sloanea berteriana,110.91,88.78,131
19980,Piper glabrescens,NA,NA,10.8
19981,Piper glabrescens,NA,NA,11.3
19983,Cecropia schreberiana,NA,NA,31.5
19984,Psychotria berteriana,NA,NA,20.3
19985,Psychotria berteriana,NA,NA,33
19986,Psychotria berteriana,NA,NA,37.5
19987,Psychotria berteriana,NA,NA,17.9
19991,Sloanea berteriana,104.81,96.35,49.9
19992,Manilkara bidentata,102.18,94.85,20.4
19995,Psychotria berteriana,NA,NA,14.3
19997,Psychotria berteriana,NA,NA,15.8
27205,Guarea glabra,102.52,92.66,35.1
27304,Manilkara bidentata,117.14,99,37.2
27305,Sloanea berteriana,118.25,93.59,69
27306,Manilkara bidentata,117.46,98.66,76
27309,Manilkara bidentata,116.02,97.76,56
27334,Guarea glabra,115.26,92.04,38.9
27335,Sloanea berteriana,115.2,92.97,48.6
27337,Sloanea berteriana,118.83,90.11,58
27403,Psychotria berteriana,NA,NA,13.7
27404,Sloanea berteriana,115.48,88.29,38.5
27405,Sloanea berteriana,115.98,85.95,13
27408,Dacryodes excelsa,116.16,88.68,46.9
27415,Sloanea berteriana,104.93,90.46,70
27418,Manilkara bidentata,104.92,93.62,15
27419,Psychotria berteriana,106.43,93.15,15.9
27420,Psychotria berteriana,NA,NA,13.8
27421,Psychotria berteriana,NA,NA,16.2
27422,Dacryodes excelsa,NA,NA,66
27424,Manilkara bidentata,108.35,97.38,54
27425,Manilkara bidentata,107.94,97.58,18.4
27426,Sloanea berteriana,107.13,98.21,51.3
27427,Sloanea berteriana,107.7,97.93,56
27428,Vitex divaricata,105.79,97.48,100
27429,Sloanea berteriana,105.3,99.68,55
27430,Manilkara bidentata,105.52,98.43,45
27432,Cecropia schreberiana,116.58,80.76,60
27438,Psychotria brachiata,119.75,82.89,11.5
27439,Tetragastris balsamifera,106.01,93.89,53
27440,Hirtella rugosa,108.44,95.57,18.9
27444,Sloanea berteriana,109.02,96.9,69
27447,Psychotria berteriana,107.63,92.96,18.7
27448,Dacryodes excelsa,108.01,94.44,50
27449,Dacryodes excelsa,107.97,92.45,45.7
27451,Piper glabrescens,NA,NA,13.1
27452,Palicourea riparia,NA,NA,15.3
27453,Sloanea berteriana,106.4,83.58,34.2
27454,Psychotria brachiata,106.01,83.66,15.8
27458,Hirtella rugosa,103.39,84.87,18.7
27459,Sloanea berteriana,NA,NA,84
27460,Dacryodes excelsa,101.51,88.66,72
27469,Piper glabrescens,108.04,83.02,14.8
27470,Sloanea berteriana,102.85,80.14,17.5
27471,Dacryodes excelsa,103.02,83.53,83
27473,Sloanea berteriana,NA,NA,27.8
44955,Tetragastris balsamifera,103.22,83.37,10.2
44956,Psychotria berteriana,NA,NA,11.6
44957,Psychotria berteriana,NA,NA,12.6
44958,Psychotria berteriana,NA,NA,14.9
44966,Psychotria berteriana,NA,NA,14.3
44967,Psychotria berteriana,NA,NA,12
44968,Psychotria berteriana,NA,NA,14.1
44970,Cordia borinquensis,NA,NA,11
44971,Psychotria berteriana,NA,NA,10.5
44973,Psychotria berteriana,NA,NA,17.1
44974,Psychotria berteriana,NA,NA,13.5
44975,Calycogonium squamulosum,114.85,89.18,13
44976,Tetragastris balsamifera,114.96,89.97,16.1
44977,Byrsonima spicata,110.65,92.73,13.8
44978,Psychotria berteriana,NA,NA,20.2
44979,Palicourea riparia,NA,NA,11.7
44980,Palicourea riparia,NA,NA,11.2
44981,Cordia borinquensis,114.86,96.21,12.4
44982,Sloanea berteriana,118.54,89.38,37.4
4634,Sapium laurocerasus,101.02,101.05,205
4635,Dacryodes excelsa,103.97,100.35,413
4636,Alchorneopsis floribunda,102.49,103.95,432
4638,Sloanea berteriana,100.25,107.04,110
4639,Manilkara bidentata,100.46,107.92,351
4640,Dacryodes excelsa,100.46,108.73,149
4642,Andira inermis,100.82,116.35,118
4643,Dacryodes excelsa,100.77,118.09,355
4644,Manilkara bidentata,100.67,119.61,237
4650,Sloanea berteriana,108.82,103.03,105
4652,Dacryodes excelsa,108.98,100.26,178
4653,Dacryodes excelsa,114.78,100.95,258
4654,Dacryodes excelsa,113.97,103.43,561
4655,Dacryodes excelsa,114.81,104.82,337
4656,Manilkara bidentata,112.21,105.08,163
4657,Dacryodes excelsa,110.98,104.88,135
4658,Sloanea berteriana,110.13,111.5,485
4660,Guarea guidonia,113.97,118.76,545
4661,Dacryodes excelsa,113.96,116.21,412
4663,Dacryodes excelsa,118.97,115.28,135
4664,Dacryodes excelsa,116.04,115.36,380
4665,Sloanea berteriana,115.54,116.54,114
4666,Dacryodes excelsa,117.98,109.81,265
4667,Dacryodes excelsa,118.47,106.49,456
4668,Dacryodes excelsa,116.07,101.74,440
27828,Dacryodes excelsa,111.8,100.05,30
27829,Sloanea berteriana,111.96,100.15,87
27830,Manilkara bidentata,114.76,101.33,20
27831,Sloanea berteriana,111.21,105.05,66
27832,Sloanea berteriana,114,106.9,50
27833,Sloanea berteriana,113.97,107.47,27.5
27834,Sloanea berteriana,114.94,111.46,22.5
27835,Sloanea berteriana,112.77,114.91,31
27837,Sloanea berteriana,NA,NA,21
27848,Pseudolmedia spuria,100.71,117.17,15
27849,Pseudolmedia spuria,100.82,119.76,23
27850,Pseudolmedia spuria,101.27,116.51,17.5
27852,Sloanea berteriana,103.22,116.83,45
27861,Piper glabrescens,NA,NA,13
27862,Sloanea berteriana,NA,NA,73
27864,Sloanea berteriana,102.05,100.42,65
27865,Sloanea berteriana,103.15,100.35,94
27885,Andira inermis,100.26,115.09,105
27902,Sloanea berteriana,116.9,103.77,27.5
27903,Dacryodes excelsa,114.96,104.94,94
27904,Sloanea berteriana,116.69,104.79,22
27905,Manilkara bidentata,116.96,105.46,32
27906,Sloanea berteriana,118.81,106.4,32.5
27909,Sloanea berteriana,NA,NA,18.4
27911,Sloanea berteriana,118.39,106.99,21.5
27912,Sloanea berteriana,116.71,110.07,40
27913,Sloanea berteriana,116.6,111.19,52.5
27914,Sloanea berteriana,115.58,111.65,29.6
27916,Sloanea berteriana,118.9,115.42,48
27920,Piper glabrescens,NA,NA,12.5
27921,Piper glabrescens,NA,NA,10.1
27922,Piper glabrescens,NA,NA,15
27923,Piper glabrescens,NA,NA,18.4
27924,Piper glabrescens,NA,NA,10.9
27926,Sloanea berteriana,109.91,113.09,22.5
27932,Sloanea berteriana,107.63,108.89,107
27933,Piper glabrescens,NA,NA,10.5
28001,Dacryodes excelsa,110.11,102.37,63.5
28002,Meliosma herbertii,111.41,101.77,26
28003,Sloanea berteriana,110.16,109.25,91
28005,Guarea guidonia,NA,NA,47
28006,Dacryodes excelsa,114.87,118.23,101
28010,Piper glabrescens,NA,NA,13.5
28015,Sloanea berteriana,103.83,108.36,95
28016,Trichilia pallida,100.93,106.91,63
28017,Sloanea berteriana,101.18,100.92,75
28019,Sloanea berteriana,105.48,100.91,14
28020,Sloanea berteriana,107.88,100.33,70
44780,Piper glabrescens,NA,NA,13.5
5667,Chione venosa,104.82,125.33,581
5669,Dacryodes excelsa,103.84,133.03,213
5670,Dendropanax arboreus,102.47,135.94,117
5671,Dacryodes excelsa,103.77,135.25,117
5673,Guarea guidonia,100.07,138.49,315
5674,Manilkara bidentata,102.8,137.91,172
5675,Dacryodes excelsa,103.25,137.99,143
5676,Alchornea latifolia,109.64,139.37,138
5677,Dacryodes excelsa,105.31,136.56,262
5678,Manilkara bidentata,105.48,135.98,101
5679,Sloanea berteriana,109.44,135.24,125
5680,Dacryodes excelsa,109.46,134.43,350
5681,Dacryodes excelsa,108.53,132.59,134
5683,Dacryodes excelsa,108.73,129.73,343
5684,Dacryodes excelsa,108.27,128.59,133
5685,Dacryodes excelsa,109.37,125.12,469
5686,Drypetes glauca,106,123.34,331
5687,Dacryodes excelsa,112.52,121.91,127
5688,Drypetes glauca,112.35,125.18,212
5689,Dacryodes excelsa,114.45,127.65,111
5690,Dacryodes excelsa,113.96,131.23,237
5693,Inga laurina,114.85,139.13,143
5694,Homalium racemosum,119.9,137.79,490
5695,Casearia sylvestris,118.66,137.19,124
5696,Andira inermis,116.19,137.31,189
5697,Manilkara bidentata,115.68,137.31,119
5698,Dacryodes excelsa,117.98,135.45,263
5699,Chionanthus domingensis,118.39,134.67,536
5700,Dacryodes excelsa,117.49,125.32,366
5701,Drypetes glauca,118.86,125.2,128
5702,Trichilia pallida,115.88,122.9,107
28954,Psychotria berteriana,NA,NA,12.9
28958,Sloanea berteriana,103.32,139.66,45.4
28961,Sloanea berteriana,102.4,136.27,21.4
28962,Palicourea riparia,NA,NA,20.2
28963,Palicourea riparia,NA,NA,15.3
28967,Sloanea berteriana,104.78,137.54,25
28968,Trichilia pallida,105.79,136.82,92
28969,Palicourea riparia,106.07,135.72,17.1
28970,Palicourea riparia,108.38,135.2,16.2
28974,Dacryodes excelsa,110.41,135.42,66
28975,Psychotria berteriana,NA,NA,12.2
28976,Dacryodes excelsa,110.82,135.83,35.5
28980,Myrcia leptoclada,113.49,137.13,21
28981,Dacryodes excelsa,114.02,136.39,17.5
28982,Palicourea riparia,114.63,139.99,23.4
28985,Dacryodes excelsa,115.41,136.28,46.6
28986,Sloanea berteriana,115.79,136.66,95
28987,Manilkara bidentata,115.24,136.36,22.5
28988,Sloanea berteriana,116.35,137.56,53
28989,Cassipourea guianensis,118.12,136.5,62
28990,Dacryodes excelsa,118.13,135.69,62
28991,Dacryodes excelsa,118.85,135.12,44.3
28992,Sloanea berteriana,117.4,138.68,33.4
28993,Psychotria berteriana,NA,NA,30.2
28994,Cecropia schreberiana,NA,NA,82
28995,Psychotria berteriana,NA,NA,19.6
28996,Psychotria berteriana,NA,NA,28.6
28999,Psychotria berteriana,NA,NA,16.4
29049,Sloanea berteriana,100.1,122.37,54
29055,Casearia sylvestris,NA,NA,12.9
29057,Piper glabrescens,NA,NA,12.5
29059,Chionanthus domingensis,NA,NA,10.7
29063,Casearia sylvestris,104.44,123.52,25
29065,Casearia arborea,104.43,122.55,35
29066,Manilkara bidentata,110.91,123.74,43.3
29068,Dacryodes excelsa,114.43,124.22,33.3
29070,Piper amalago,NA,NA,10.4
29071,Trichilia pallida,118.27,122.51,44.1
29072,Dacryodes excelsa,117.73,124.04,76
29073,Trichilia pallida,118.41,125.24,50.8
29258,Tetragastris balsamifera,102.1,131.15,63
29260,Sloanea berteriana,102.11,132.26,70
29261,Sloanea berteriana,102.32,132.48,31.6
29262,Garcinia portoricensis,101.92,134.79,10.4
29264,Palicourea riparia,103,134.69,22.2
29265,Palicourea riparia,103.47,134.04,20.6
