sp,wsg
Copaifera religiosa,0.5
Cordia africana,0.4
Cordia millenii,0.34
Cordia platythyrsa,0.36
Corynanthe gabonensis,0.56
Corynanthe pachyceras,0.63
Coula edulis,0.78
Croton macrostachyus,0.5
Croton megalocarpus,0.57
Cryptosepalum staudtii,0.7
Ctenolophon englerianus,78
Cylicodiscus gabonensis,0.8
Cynometra alexandri,0.74
Dacryodes buettneri,0.53
Dacryodes edulis,0.5
Dacryodes igaganga,0.53
Dacryodes klaineana,0.7
Dacryodes le-testui,0.5
Dacryodes normandii,0.5
Dacryodes spp.,0.61
Daniellia klainei,0.45
Daniellia ogea,0.4
Daniellia soyauxii,0.45
Desbordesia pierreana,0.87
Detarium senegalensis,0.63
Dialium bipindense,0.83
Dialium dinklagei,0.72
Dialium excelsum,0.78
Didelotia africana,0.78
Didelotia brevipaniculata,0.53
Didelotia letouzeyi,0.5
Diospyros kamerunensis,0.78
Diospyros spp.,0.82
Discoglypremna caloneura,0.32
Distemonanthus benthamianus,0.58
Drypetes gossweilleri,0.63
Drypetes sp.,0.63
Ehretia acuminata,0.51
Enantia chlorantha,0.42
Endodesmia calophylloides,0.66
Entandrophragma angolensis,0.45
Entandrophragma candollei,0.59
Entandrophragma cylindricum,0.55
Entandrophragma utile,0.53
Eribroma oblongum,0.6
Eriocoelum microspermum,0.5
Erismadelphus exsul,0.56
Erythrina vogelii,0.25
Erythrophleum ivorense,0.72
Erythroxylum mannii,0.5
Fagara heitzii,0.41
Fagara macrophylla,0.69
Ficus iteophylla,0.4
Ficus mucuso,0.39
Funtumia africana,0.4
Fumtumia latifolia,0.45
Gambeya africana,0.63
Gambeya lacourtiana,0.63
Gambeya madagascariensis,0.56
Gambeya spp.,0.56
Garcinia gerardii,0.66
Garcinia mannii,0.78
Garcinia punctata,0.78
Gilbertiodendron dewevrei,0.65
Gilbertiodendron grandiflorum,0.66
Gilbertiodendron mayombense,0.63
Gilletiodendron mildbraedii,0.87
Gossweilerodendron balsamiferum,0.4
Guarea cedrata,0.48
Guarea laurentii,0.56
Guarea thompsonii,0.55
Guibourtia arnoldiana,0.64
Guibourtia demeusei,0.7
Guibourtia ehie,0.67
Guibourtia pellegriniana,0.74
Guibourtia spp.,0.72
Guibourtia tessmannii,0.74
Hannoa klaineana,0.28
Harungana madagascariensis,0.45
Hexalobus crispiflorus,0.48
Holoptelea grandis,0.59
Homalium letestui,0.66
Homalium spp.,0.7
Hylodendron gabonense,0.78
Hymenostegia afzelii,0.78
Hymenostegia pellegrini,0.78
Irvingia gabonensis,0.71
Irvingia grandifolia,0.78
Julbernardia globiflora,0.78
Khaya grandifoliola,0.6
Khaya ivorensis,0.44
Khaya senegalensis,0.6
Klainedoxa gabonensis,0.87
Lannea welwitschii,0.45
Lecomtedoxa klaineana,0.78
Letestua durissima,0.87
Lophira alata,0.87
Lovoa trichilioides,0.45
Macaranga conglomerata,0.4
Macaranga kilimandscharica,0.4
Maesopsis eminii,0.41
Malacantha sp. aff. alnifolia,0.45
Mammea africana,0.62
Manilkara cuneifolia,0.81
Manilkara lacera,0.78
Markhamia hildebrandtii,0.5
Markhamia platycalyx,0.45
Memecylon capitellatum,0.77
Microberlinia bisulcata,0.63
Microberlinia brazzavillensis,0.7
Microcos coriaceus,0.42
Milletia laurentii,0.7
Milletia spp.,0.72
Mitragyna ciliata,0.45
Mitragyna stipulosa,0.47
Monopetalanthus coriaceus,0.45
Monopetalanthus durandii,0.5
Monopetalanthus heitzii,0.39
Monopetalanthus letestui,0.5
Monopetalanthus pellegrinii,0.47
Musanga cecropioides,0.23
Nauclea diderrichii,0.63
Neopoutonia macrocalyx,0.32
Nesogordonia fouassieri,0.7
Nesogordonia papaverifera,0.65
Newtonia buchananii,0.48
Newtonia glandulifera,0.74
Ochtocosmus africanus,0.78
Odyendea gabonensis,0.32
Odyendea spp.,0.32
Oldfieldia africana,0.78
Ongokea gore,0.72
Oxystigma oxyphyllum,0.53
Pachyelasma tessmannii,0.7
Pachypodanthium confine,0.58
Pachypodanthium staudtii,0.58
Paraberlinia bifoliolata,0.56
Parinari excelsa,0.69
Parinari glabra,0.87
Parinari goetzeniana,0.78
Parkia bicolor,0.36
Pausinystalia brachythyrsa,0.56
Pausinystalia cf. talbotii,0.56
Pentaclethra eetveldeana,0.63
Pentaclethra macrophylla,0.78
Pentadesma butyracea,0.78
Phyllanthus discoideus,0.76
Pierreodendron africanum,0.7
Piptadenia gabunensis,0.7
Piptadeniastrum africanum,0.56
Plagiostyles africana,0.7
Poga oleosa,0.36
Polyalthia suaveolens,0.66
Premna angolensis,0.63
Pteleopsis hylodendron,0.63
Pterocarpus angolensis,0.59
Pterocarpus soyauxii,0.61
Pterygota bequaertii,0.56
Pterygota spp.,0.52
Pycnanthus angolensis,0.4
Randia cladantha,0.78
Rauwolfia macrophylla,0.47
Ricinodendron heudelotii,0.2
Saccoglottis gabonensis,0.74
Santiria trimera,0.53
Sapium ellipticum,0.5
Schrebera arborea,0.63
Sclorodophloeus zenkeri,0.68
Scottellia chevalieri,0.5
Scottellia coriacea,0.56
Scyphocephalium ochocoa,0.48
Scytopetalum tieghemii,0.56
Sindoropsis letestui,0.56
Staudtia stipitata,0.75
Stemonocoleus micranthus,0.56
Sterculia oblonga,0.61
Sterculia rhinopetala,0.64
Strephonema pseudocola,0.56
Strombosia glaucescens,0.8
Strombosia grandifolia,0.74
Strombosiopsis tetrandra,0.63
Swartzia fistuloides,0.82
Symphonia globulifera,0.58
Syzygium cordatum,0.59
Tarrietia densiflora,0.63
Tarrietia utilis,0.54
Terminalia superba,0.45
Tessmania africana,0.85
Testulea gabonensis,0.6
Tetraberlinia bifoliolata,0.54
Tetraberlinia tubmaniana,0.6
Tetrapleura tetraptera,0.5
Tieghemella africana,0.55
Tieghemella heckelii,0.55
Trema guineensis,0.4
Trema sp.,0.4
Trichilia heudelotii,0.5
Trichilia prieureana,0.63
Trichoscypha arborea,0.59
Triplochiton scleroxylon,0.32
Uapaca spp.,0.6
Vepris undulata,0.7
Vitex doniana,0.4
Xylopia aethiopica,0.5
Xylopia chrysophylla,0.7
Xylopia hypolambra,0.63
Xylopia quintasii,0.7
Xylopia staudtii,0.36
