sp,wsg
Breonia macrocarpa,0.5
Breonia macrocarpa,0.38
Breonia madagascariensis,0.708
Breonia perrieri,0.765
Bretschneidera sinensis,0.537
Breviea sericea,0.431
Breviea sericea,0.531
Bridelia balansae,0.517
Bridelia balansae,0.65
Bridelia balansae,0.57
Bridelia balansae,0.684
Bridelia exaltata,0.659
Bridelia exaltata,0.702
Bridelia glauca,0.46
Bridelia glauca,0.42
Bridelia grandis,0.523
Bridelia insulana,0.542
Bridelia insulana,0.542
Bridelia micrantha,0.577
Bridelia micrantha,0.491
Bridelia micrantha,0.507
Bridelia micrantha,0.482
Bridelia micrantha,0.435
Bridelia micrantha,0.57
Bridelia micrantha,0.495
Bridelia ndellensis,0.513
Bridelia ndellensis,0.588
Bridelia ovata,0.6
Bridelia penangiana,0.465
Bridelia retusa,0.716
Bridelia retusa,0.5
Bridelia tomentosa,0.61
Bridelia tomentosa,0.72
Bridelia tulasneana,0.49
Bridelia tulasneana,0.456
Brochoneura indet,0.584
Brombya platynema,0.611
Brosimum acutifolium,0.55
Brosimum acutifolium,0.81
Brosimum acutifolium,0.792
Brosimum acutifolium,0.67
Brosimum acutifolium,0.55
Brosimum acutifolium,0.56
Brosimum acutifolium,0.55
Brosimum alicastrum,0.64
Brosimum alicastrum,0.68
Brosimum alicastrum,0.48
Brosimum alicastrum,0.74
Brosimum alicastrum,0.44
Brosimum alicastrum,0.56
Brosimum alicastrum,0.65
Brosimum caloxylon,0.7
Brosimum costaricanum,0.63
Brosimum costaricanum,0.7
Brosimum gaudichaudii,0.72
Brosimum gaudichaudii,0.56
Brosimum guianense,0.96
Brosimum guianense,1.03
Brosimum guianense,0.88
Brosimum guianense,0.625
Brosimum guianense,0.793
Brosimum guianense,0.93
Brosimum guianense,1.007
Brosimum guianense,0.78
Brosimum guianense,0.48
Brosimum guianense,0.95
Brosimum indet,0.68
Brosimum lactescens,0.804
Brosimum lactescens,0.7
Brosimum lactescens,0.703
Brosimum lactescens,0.56
Brosimum lactescens,0.511
Brosimum paraense,0.75
Brosimum parinarioides,0.57
Brosimum parinarioides,0.592
Brosimum parinarioides,0.42
Brosimum parinarioides,0.792
Brosimum parinarioides,0.61
Brosimum parinarioides,0.86
Brosimum parinarioides,0.611
Brosimum parinarioides,0.59
Brosimum potabile,0.53
Brosimum potabile,0.59
Brosimum potabile,0.49
Brosimum potabile,0.56
Brosimum rubescens,0.73
Brosimum rubescens,0.96
Brosimum rubescens,0.925
Brosimum rubescens,0.909
Brosimum rubescens,0.83
Brosimum rubescens,0.792
Brosimum rubescens,0.67
Brosimum rubescens,0.776
Brosimum rubescens,0.71
Brosimum rubescens,0.7
Brosimum rubescens,0.8
Brosimum rubescens,0.86
Brosimum rubescens,0.91
Brosimum rubescens,0.98
Brosimum uleanum,0.68
Brosimum utile,0.43
Brosimum utile,0.59
Brosimum utile,0.45
Brosimum utile,0.625
Brosimum utile,0.53
Brosimum utile,0.49
Brosimum utile,0.55
Brosimum utile,0.54
Brosimum utile,0.47
Brosimum utile,0.541
Brosimum utile,0.48
Brosimum utile,0.4
Brosimum utile,0.42
Brosimum utile,0.565
Broussonetia greveana,0.418
Broussonetia greveanus,0.413
Broussonetia greveanus,0.419
Broussonetia greveanus,0.444
Broussonetia luzonica,0.5
Broussonetia papyrifera,0.29
Brownea indet,1.21
Brownlowia argentata,0.51
Brownlowia argentata,0.396
Brownlowia peltata,0.47
Bruguiera cylindrica,0.72
Bruguiera exaristata,0.839
Bruguiera gymnorhiza,0.839
Bruguiera gymnorhiza,0.76
Bruguiera gymnorhiza,0.66
Bruguiera gymnorhiza,0.796
Bruguiera hainesii,0.82
Bruguiera parviflora,0.74
Bruguiera parviflora,0.78
Bruguiera parviflora,0.796
Bruguiera sexangula,0.74
Bruinsmia styracoides,0.38
Brunellia comocladifolia,0.3
Brunellia costaricensis,0.35
Brunellia costaricensis,0.295
Buchanania amboinensis,0.36
Buchanania angustifolia,0.508
Buchanania arborescens,0.497
Buchanania arborescens,0.496
Buchanania arborescens,0.405
Buchanania arborescens,0.405
Buchanania arborescens,0.45
Buchanania heterophylla,0.284
Buchanania insignis,0.43
Buchanania lanzan,0.33
Buchanania lanzan,0.455
Buchanania latifolia,0.46
Buchanania lucida,0.5
Buchanania macrocarpa,0.27
Buchanania macrocarpa,0.284
Buchanania obovata,0.405
Buchanania sessilifolia,0.41
Buchanania sessilifolia,0.44
Buchanania versteeghii,0.42
Buchenavia grandis,0.69
Buchenavia grandis,0.72
Buchenavia grandis,0.82
Buchenavia grandis,0.79
Buchenavia huberi,0.79
Buchenavia indet,0.69
Buchenavia indet,0.77
Buchenavia ochroprumna,0.69
Buchenavia oxycarpa,0.77
Buchenavia oxycarpa,0.65
Buchenavia oxycarpa,0.72
Buchenavia pallidovirens,0.82
Buchenavia parvifolia,0.818
Buchenavia tetraphylla,0.62
Buchenavia tetraphylla,0.63
Buchenavia tetraphylla,0.625
Buchenavia tetraphylla,0.603
Buchenavia tetraphylla,0.5
Buchenavia tetraphylla,0.61
Buchenavia tetraphylla,0.7
Buchenavia tetraphylla,0.65
Buchenavia viridiflora,0.88
Buchenavia viridiflora,0.67
Bucida buceras,0.93
Bucida buceras,0.69
Bucida buceras,0.68
Buckinghamia celsissima,0.793
Buckinghamia celsissima,0.768
Buckinghamia celsissima,0.801
Buddleja americana,0.52
Buddleja asiatica,0.28
Buddleja nitida,0.52
Bulnesia arborea,1
Bulnesia arborea,0.82
Bulnesia arborea,1.01
Bulnesia sarmientoi,0.77
Bulnesia sarmientoi,1.28
Bulnesia sarmientoi,0.903
Bulnesia sarmientoi,1.101
Bunchosia argentea,0.65
Bunchosia palmeri,0.74
Burckella macropoda,0.53
Burckella obovata,0.5
Burckella obovata,0.629
Burckella polymera,0.57
Burckella poolei,0.48
Burdachia duckei,0.84
Burdachia prismatocarpa,0.73
Burkea africana,0.51
Burkea africana,0.689
Burkea africana,0.551
Burkea africana,0.7
Burkillanthus malaccensis,0.73
Burretiodendron hsienmu,0.973
Burretiodendron hsienmu,0.88
Bursaria occidentalis,0.592
Bursera excelsa,0.35
Bursera graveolens,0.32
Bursera heteresthes,0.4
Bursera indica,0.25
Bursera instabilis,0.24
Bursera simaruba,0.31
Bursera simaruba,0.33
Bursera simaruba,0.34
Bursera simaruba,0.24
Bursera simaruba,0.29
Bursera simaruba,0.32
Bussea occidentalis,0.75
Bussea occidentalis,0.851
Bussea occidentalis,0.774
Butea monosperma,0.33
Butea monosperma,0.56
Butea monosperma,0.41
Buxus rolfei,0.68
Buxus sempervirens,0.78
Buxus wallichiana,0.706
Byrsonima aerugo,0.62
Byrsonima aerugo,0.637
Byrsonima arthropoda,0.62
Byrsonima coccolobaefolia,0.62
Byrsonima coriacea,0.62
Byrsonima crassifolia,0.59
Byrsonima crassifolia,0.52
Byrsonima crassifolia,0.56
Byrsonima crassifolia,0.63
Byrsonima crassifolia,0.62
Byrsonima crispa,0.55
Byrsonima crispa,0.61
Byrsonima densa,0.62
Byrsonima indet,0.72
Byrsonima japurensis,0.62
Byrsonima laevigata,0.62
Byrsonima lancifolia,0.66
Byrsonima obversa,0.62
Byrsonima sericea,0.78
Byrsonima spicata,0.62
Byrsonima spicata,0.61
Byrsonima spicata,0.65
Byrsonima spicata,0.64
Byrsonima spicata,0.758
Byrsonima spicata,0.525
Byrsonima spicata,0.46
Byrsonima spicata,0.6
Byrsonima spicata,0.66
Byrsonima stipulacea,0.75
Byrsonima stipulacea,0.758
Byrsonima stipulacea,0.66
Byrsonima verbascifolia,0.75
Cabralea canjerana,0.55
Cabralea canjerana,0.46
Cabralea canjerana,0.69
Cabralea canjerana,0.41
Cabralea canjerana,0.593
Cabralea canjerana,0.49
Cadellia pentastylis,0.951
Caesalpinia caladenia,0.91
Caesalpinia coriaria,1.14
Caesalpinia coriaria,1.2
Caesalpinia coriaria,1.03
Caesalpinia coriaria,1.18
Caesalpinia echinata,0.86
Caesalpinia echinata,0.92
Caesalpinia eriostachys,0.72
Caesalpinia eriostachys,0.74
Caesalpinia ferrea,1.17
Caesalpinia glabrata,0.95
Caesalpinia granadillo,1.03
Caesalpinia indet,1.05
Caesalpinia paraguariensis,1.18
Caesalpinia paraguariensis,0.963
Caesalpinia paraguariensis,1.015
Caesalpinia platyloba,1.03
Caesalpinia pluviosa,0.89
Caesalpinia pulcherrima,0.84
Caesalpinia sappan,0.86
Caesalpinia sappan,0.809
Caesalpinia sclerocarpa,1.39
Calatola costaricensis,0.65
Calatola costaricensis,0.481
Calatola laevigata,0.76
Caldcluvia australiensis,0.495
Caldcluvia australiensis,0.501
Caldcluvia australiensis,0.485
Caldcluvia australiensis,0.495
Caldcluvia australiensis,0.495
Caldcluvia celebica,0.39
Caldcluvia indet,0.577
Caldcluvia myriantha,0.3
Caldcluvia paniculata,0.5
Caldcluvia paniculata,0.55
Caldcluvia paniculosa,0.564
Caldcluvia paniculosa,0.564
Caldcluvia paniculosa,0.545
Caldcluvia paniculosa,0.564
Caldcluvia paniculosa,0.564
Caldcluvia papuana,0.7
Calliandra calothyrsus,0.58
Calliandra guildingii,0.85
Calliandra seleri,0.98
Calliandra trinervia,0.82
Calliandra tweediei,0.85
Callicarpa furfuracea,0.3
Callicarpa pentandra,0.34
Callicarpa tomentosa,0.41
Callicoma serratifolia,0.495
Callistemon lanceolatus,0.86
Callistemon lanceolatus,0.744
Callistemon phoeniceus,0.846
Callistemon salignus,0.839
Callistemon viminalis,0.689
Callisthene fasciculata,0.76
Callisthene fasciculata,0.79
Callisthene fasciculata,0.67
Callisthene major,0.75
Callitris columellaris,0.58
Callitris columellaris,0.576
Callitris columellaris,0.576
Callitris columellaris,0.753
Callitris columellaris,0.612
Callitris columellaris,0.569
Callitris columellaris,0.581
Callitris endlicheri,0.57
Callitris endlicheri,0.581
Callitris endlicheri,0.581
Callitris macleayana,0.495
Callitris rhomboidea,0.469
Callitris rhomboidea,0.469
Callitris rhomboidea,0.469
Callitris verrucosa,0.682
Calocedrus macrolepis,0.459
Calocedrus macrolepis,0.445
Calodendrum capense,0.646
Calodendrum capense,0.594
Caloncoba brevipes,0.65
Calophyllum angulare,0.725
Calophyllum angulare,0.56
Calophyllum australianum,0.633
Calophyllum austrocoriaceum,0.41
Calophyllum blancoi,0.46
Calophyllum brasiliense,0.54
Calophyllum brasiliense,0.54
Calophyllum brasiliense,0.62
Calophyllum brasiliense,0.47
Calophyllum brasiliense,0.675
Calophyllum brasiliense,0.51
Calophyllum brasiliense,0.697
Calophyllum brasiliense,0.56
Calophyllum brasiliense,0.689
Calophyllum brasiliense,0.5
Calophyllum brasiliense,0.7
Calophyllum brasiliense,0.55
Calophyllum brasiliense,0.635
Calophyllum brasiliense,0.58
Calophyllum brasiliense,0.57
Calophyllum brassii,0.48
Calophyllum calaba,0.55
Calophyllum calaba,0.633
Calophyllum canum,0.51
Calophyllum congestiflorum,0.52
Calophyllum costatum,0.621
Calophyllum costatum,0.612
Calophyllum costatum,0.633
Calophyllum dasypodium,0.5
Calophyllum drouhardii,0.598
Calophyllum dryobalanoides,0.65
Calophyllum floribundum,0.71
Calophyllum foetidum,0.67
Calophyllum grandiflorum,0.41
Calophyllum indet,0.46
Calophyllum inophylloide,0.81
Calophyllum inophylloide,0.41
Calophyllum inophyllum,0.581
Calophyllum inophyllum,0.568
Calophyllum inophyllum,0.6
Calophyllum inophyllum,0.64
Calophyllum inophyllum,0.534
Calophyllum kunstleri,0.53
Calophyllum lanigerum,0.5
Calophyllum leucocarpum,0.6
Calophyllum longifolium,0.542
Calophyllum macrocarpum,0.63
Calophyllum macrocarpum,0.65
Calophyllum mariae,0.46
Calophyllum molle,0.59
Calophyllum neo-ebudicum,0.5
Calophyllum obliquinervium,0.64
Calophyllum papuanum,0.38
Calophyllum papuanum,0.508
Calophyllum parviflorum,0.652
Calophyllum parviflorum,0.673
Calophyllum parviflorum,0.719
Calophyllum parviflorum,0.761
Calophyllum parviflorum,0.771
Calophyllum parviflorum,0.776
Calophyllum parvifolium,0.54
Calophyllum polyanthum,0.439
Calophyllum prainianum,0.56
Calophyllum pulcherrimum,0.62
Calophyllum pulcherrimum,0.6
Calophyllum pulcherrimum,0.63
Calophyllum recurvatum,0.56
Calophyllum retusum,0.57
Calophyllum rigidum,0.48
Calophyllum sclerophyllum,0.57
Calophyllum soulattri,0.43
Calophyllum spectabile,0.59
Calophyllum teysmannii,0.54
Calophyllum tomentosum,0.53
Calophyllum venulosum,0.5
Calophyllum vitiense,0.5
Calophyllum wallichiana,0.53
Calophyllum waworoentii,0.51
Calophyllum wightianum,0.57
Calpocalyx brevibracteatus,0.7
Calpocalyx brevibracteatus,0.757
Calpocalyx brevibracteatus,0.723
Calpocalyx heitzii,0.689
Calpocalyx heitzii,0.695
Calpocalyx heitzii,0.654
Calpocalyx heitzii,0.668
Calpocalyx heitzii,0.671
Calpocalyx heitzii,0.701
Calpocalyx heitzii,0.717
Calpocalyx heitzii,0.719
Calpocalyx heitzii,0.734
Calpocalyx heitzii,0.741
Calpocalyx heitzii,0.768
Calpocalyx heitzii,0.777
Calpocalyx heitzii,0.827
Calpocalyx heitzii,0.828
Calpocalyx heitzii,0.71
Calpocalyx klainei,0.663
Calpocalyx klainei,0.71
Calycogonium squamulosum,0.74
Calycolpus goetheanus,0.78
Calycolpus goetheanus,0.82
Calycophyllum acreanum,0.8
Calycophyllum candidissimum,0.73
Calycophyllum candidissimum,0.67
Calycophyllum candidissimum,0.69
Calycophyllum multiflorum,0.71
Calycophyllum multiflorum,0.86
Calycophyllum multiflorum,0.74
Calycophyllum multiflorum,0.64
Calycophyllum spruceanum,0.71
Calycophyllum spruceanum,0.78
Calycophyllum spruceanum,0.645
Calycophyllum spruceanum,0.75
Calycophyllum spruceanum,0.74
Calycophyllum spruceanum,0.69
Calycorectes acutatus,0.76
Calyptranthes clusiaefolia,0.72
Calyptranthes concinna,0.77
Calyptranthes speciosa,0.86
Camellia lanceolata,0.55
Campnosperma auriculata,0.37
Campnosperma auriculata,0.32
Campnosperma auriculata,0.29
Campnosperma brevipetiolata,0.29
Campnosperma brevipetiolata,0.27
Campnosperma brevipetiolata,0.353
Campnosperma coriaceum,0.35
Campnosperma coriaceum,0.38
Campnosperma coriaceum,0.42
Campnosperma coriaceum,0.36
Campnosperma gummifera,0.39
Campnosperma gummifera,0.49
Campnosperma macrophylla,0.4
Campnosperma minus,0.43
Campnosperma panamensis,0.39
Campnosperma panamensis,0.33
Campnosperma panamensis,0.23
Campnosperma panamensis,0.373
Campnosperma panamensis,0.37
Campnosperma squamatum,0.39
Campomanesia eugenioides,0.84
Campomanesia grandiflora,0.73
Campomanesia maschalantha,0.747
Campomanesia neriiflora,0.84
Campomanesia rufa,0.93
Campsiandra angustifolia,0.9
Campsiandra comosa,0.81
Camptostemon philippinense,0.42
Camptotheca acuminata,0.444
Camptotheca acuminata,0.412
Cananga latifolia,0.28
Cananga odorata,0.4
Cananga odorata,0.3
Cananga odorata,0.26
Cananga odorata,0.353
Cananga odorata,0.323
Canarium acutifolium,0.51
Canarium album,0.429
Canarium album,0.405
Canarium apertum,0.5
Canarium apertum,0.55
Canarium asperum,0.49
Canarium asperum,0.45
Canarium australasicum,0.652
Canarium australasicum,0.652
Canarium australasicum,0.49
Canarium australasicum,0.652
Canarium australasicum,0.652
Canarium australianum,0.501
Canarium australianum,0.512
Canarium australianum,0.564
Canarium balsamiferum,0.39
Canarium bengalense,0.56
Canarium caudatum,0.33
Canarium copaliferum,0.431
Canarium decumanum,0.32
Canarium denticulatum,0.5
Canarium denticulatum,0.55
Canarium dichotomum,0.46
Canarium euphyllum,0.35
Canarium fissistipulum,0.57
Canarium hirsutum,0.49
Canarium indet,0.517
Canarium indicum,0.56
Canarium indicum,0.56
Canarium intermedium,0.63
Canarium karoense,0.55
Canarium lian,0.4
Canarium littorale,0.45
Canarium littorale,0.54
Canarium luzonicum,0.31
Canarium madagascariense,0.468
Canarium madagascariense,0.474
Canarium madagascariense,0.474
Canarium madagascariense,0.495
Canarium madagascariense,0.504
Canarium madagascariense,0.528
Canarium madagascariense,0.536
Canarium madagascariense,0.548
Canarium madagascariense,0.552
Canarium madagascariense,0.556
Canarium madagascariense,0.56
Canarium madagascariense,0.571
Canarium madagascariense,0.573
Canarium maluense,0.48
Canarium megalanthum,0.56
Canarium muelleri,0.594
Canarium odontophyllum,0.5
Canarium oleosum,0.482
Canarium patentinervium,0.48
Canarium patentinervium,0.61
Canarium pilosum,0.45
Canarium pilosum,0.48
Canarium pimela,0.53
Canarium pimela,0.56
Canarium pseudo-decumanum,0.46
Canarium pseudopatentinervium,0.46
Canarium pseudopatentinervium,0.42
Canarium pseudosumatranum,0.51
Canarium quadrangulare,0.45
Canarium rufum,0.51
Canarium samoense,0.508
Canarium schweinfurthii,0.474
Canarium schweinfurthii,0.44
Canarium schweinfurthii,0.416
Canarium schweinfurthii,0.43
Canarium schweinfurthii,0.304
Canarium schweinfurthii,0.321
Canarium schweinfurthii,0.383
Canarium schweinfurthii,0.397
Canarium schweinfurthii,0.398
Canarium schweinfurthii,0.446
Canarium schweinfurthii,0.55
Canarium schweinfurthii,0.31
Canarium schweinfurthii,0.414
Canarium schweinfurthii,0.41
Canarium schweinfurthii,0.45
Canarium schweinfurthii,0.4
Canarium schweinfurtii,0.29
Canarium sikkimense,0.25
Canarium strictum,0.53
Canarium sumatranum,0.32
Canarium sylvestre,0.46
Canarium tonkinense,0.491
Canarium trigonum,0.59
Canarium vanikoroense,0.54
Canarium vitiense,0.54
Canarium vrieseanum,0.51
Canarium vulgare,0.44
Canella winterana,0.95
Canthium dicoccum,0.697
Canthium dicoccum,0.63
Canthium dicoccum,0.75
Canthium dicoccum,0.75
Canthium dicoccum,0.73
Canthium glabrum,0.465
Canthium indet,0.815
Canthium indet,0.847
Canthium indet,0.854
Canthium lactescens,0.715
Canthium monstrosum,0.44
Canthium rubrocostatum,0.65
Cantleya corniculata,0.84
Cantleya corniculata,0.75
Cantleya corniculata,0.87
Cantleya corniculata,0.98
Capirona decorticans,0.53
Capirona decorticans,0.689
Capirona decorticans,0.56
Capparis amplissima,0.663
Capparis angulata,0.77
Capparis arborea,0.762
Capparis baducca,0.48
Capparis indica,0.68
Capparis maroniensis,0.67
Capparis mitchellii,0.762
Capparis nobilis,0.702
Capparis osmantha,0.663
Capparis retusa,0.619
Capparis speciosa,0.662
Capparis verrucosa,0.86
Capsicodendron dinisii,0.57
Caraipa densifolia,0.6
Caraipa densifolia,0.57
Caraipa densifolia,0.61
Caraipa densifolia,0.63
Caraipa densifolia,0.793
Caraipa grandifolia,0.78
Caraipa llanorum,0.6
Caraipa punctulata,0.6
Carallia borneensis,0.61
Carallia brachiata,0.6
Carallia brachiata,0.633
Carallia brachiata,0.61
Carallia brachiata,0.6
Carallia brachiata,0.633
Carallia brachiata,0.633
Carallia brachiata,0.723
Carallia brachiata,0.746
Carallia brachiata,0.61
Carallia brachiata,0.66
Carallia brachiata,0.71
Carallia brachiata,0.744
Carallia brachiata,0.8
Carallia brachiata,0.62
Carallia euryoides,0.74
Carallia integerrima,0.76
Carapa grandiflora,0.55
Carapa guianensis,0.53
Carapa indet,0.59
Carapa nicaraguensis,0.42
Carapa obovata,0.663
Carapa procera,0.56
Carapa procera,0.58
Carapa procera,0.73
Carapa procera,0.47
Carapa procera,0.613
Carapa procera,0.55
Carapa procera,0.577
Carapa procera,0.49
Carapa procera,0.41
Carapa procera,0.43
Carapa procera,0.59
Carapa procera,0.59
Carapa procera,0.74
Carapa procera,0.621
Carapa procera,0.53
Carapa procera,0.54
Carapa slateri,0.55
Cardiopetalum calophyllum,0.79
Cardiopetalum calophyllum,0.5
Cardwellia sublimis,0.482
Cardwellia sublimis,0.446
Cardwellia sublimis,0.5
Careya arborea,0.8
Careya arborea,0.67
Careya arborea,0.724
Carica mexicana,0.16
Carica pulchra,0.215
Cariniana decandra,0.51
Cariniana decandra,0.67
Cariniana decandra,0.559
Cariniana domestica,0.59
Cariniana estrellensis,0.78
Cariniana estrellensis,0.56
Cariniana estrellensis,0.57
Cariniana indet,0.46
Cariniana indet,0.55
Cariniana integrifolia,0.55
Cariniana integrifolia,0.49
Cariniana integrifolia,0.34
Cariniana legalis,0.55
Cariniana legalis,0.53
Cariniana legalis,0.34
Cariniana legalis,0.56
Cariniana micrantha,0.55
Cariniana micrantha,0.563
Cariniana micrantha,0.58
Cariniana micrantha,0.6
Cariniana micrantha,0.64
Cariniana multiflora,0.56
Cariniana pyriformis,0.59
Cariniana pyriformis,0.46
Cariniana pyriformis,0.56
Cariniana rubra,0.68
Cariniana rubra,0.55
Carissa indet,0.834
Carnarvonia araliifolia,0.594
Carphalea pubescens,0.857
Carpinus betulus,0.706
Carpinus betulus,0.68
Carpinus caroliniana,0.58
Carpinus fangiana,0.549
Carpinus fangiana,0.561
Carpinus lanceolata,0.53
Carpinus londoniana,0.53
Carpinus londoniana,0.528
Carpodetus serratus,0.668
Carpotroche longifolia,0.45
Carya aquatica,0.61
Carya cathayensis,0.641
Carya cathayensis,0.596
Carya cordiformis,0.6
Carya glabra,0.66
Carya illinoensis,0.6
Carya laciniosa,0.62
Carya laciniosa,0.62
Carya myristiciformis,0.56
Carya myristiciformis,0.56
Carya ovata,0.64
Carya sulcata,0.55
Carya tomentosa,0.64
Caryocar amygdaliferum,0.68
Caryocar barbinerve,0.62
Caryocar brasiliense,0.65
Caryocar coccineum,0.65
Caryocar coccineum,0.68
Caryocar glabrum,0.825
Caryocar glabrum,0.65
Caryocar glabrum,0.65
Caryocar glabrum,0.61
Caryocar glabrum,0.62
Caryocar glabrum,0.7
Caryocar glabrum,0.52
Caryocar gracile,0.89
Caryocar gracile,0.53
Caryocar gracile,0.65
Caryocar indet,0.7
Caryocar indet,0.72
Caryocar microcarpum,0.7
Caryocar microcarpum,0.62
Caryocar microcarpum,0.689
Caryocar nuciferum,0.758
Caryocar nuciferum,0.62
Caryocar pallidum,1
Caryocar pallidum,0.68
Caryocar tessmannii,0.68
Caryocar villosum,0.72
Caryocar villosum,0.93
Caryocar villosum,0.818
Caryocar villosum,0.63
Caryocar villosum,0.8
Caryocar villosum,0.65
Caryodendron amazonicum,0.65
Casearia aculeata,0.66
Casearia arborea,0.53
Casearia arborea,0.57
Casearia arborea,0.55
Casearia arborea,0.73
Casearia arborea,0.62
Casearia arborea,0.62
Casearia arborea,0.52
Casearia arborea,0.541
Casearia arborea,0.482
Casearia battiscombei,0.5
Casearia battiscombei,0.516
Casearia coriacea,0.55
Casearia dallachii,0.604
Casearia dallachii,0.603
Casearia dallachii,0.62
Casearia decandra,0.7
Casearia decandra,0.563
Casearia decandra,0.73
Casearia engleri,0.5
Casearia esculenta,0.5
Casearia flavovirens,0.56
Casearia gigantifolia,0.56
Casearia grandiflora,0.77
Casearia graveolens,0.606
Casearia grayi,0.62
Casearia grewiaefolia,0.56
Casearia grewiifolia,0.491
Casearia guianensis,0.7
Casearia guianensis,0.77
Casearia indet,0.75
Casearia indet,0.56
Casearia javitensis,0.736
Casearia javitensis,0.77
Casearia membranacea,0.65
Casearia negrensis,0.52
Casearia nitida,0.67
Casearia pitumba,0.73
Casearia praecox,0.69
Casearia praecox,0.73
Casearia sylvestris,0.84
Casearia sylvestris,0.66
Casearia sylvestris,0.8
Casearia sylvestris,0.52
Casearia tomentosa,0.64
Casearia tremula,0.74
Cassia abbreviata,0.883
Cassia brewsteri,0.676
Cassia cowanii,0.62
Cassia fastuosa,0.71
Cassia fastuosa,0.9
Cassia ferruginea,0.5
Cassia ferruginea,1.232
Cassia fistula,0.9
Cassia fistula,0.74
Cassia fistula,0.96
Cassia fistula,0.71
Cassia fistula,0.719
Cassia fistula,0.76
Cassia fistuloides,0.74
Cassia indet,0.525
Cassia javanica,0.6
Cassia javanica,0.49
Cassia javanica,0.758
Cassia marginata,1.28
Cassia moschata,0.71
Cassia moschata,0.9
Cassia nodosa,0.76
Cassia nodosa,0.64
Cassia siamea,0.607
Cassia siamea,0.6
Cassia siamea,0.86
Cassia siamea,0.586
Cassia spectabilis,0.48
Cassia timorensis,0.58
Cassine aethiopica,0.827
Cassine buchananii,0.7
Cassine crocea,0.65
Cassine papillosa,0.551
Cassine schlechteriana,0.775
Cassine transvaalensis,0.827
Cassipourea congoensis,0.66
Cassipourea euryoides,0.738
Cassipourea firestoneana,0.74
Cassipourea guianensis,0.82
Cassipourea gummiflua,0.508
Cassipourea malosana,0.517
Cassipourea malosana,0.62
Cassipourea malosana,0.619
Cassipourea malosana,0.59
Cassipourea verticillata,0.5
Castanea dentata,0.4
Castanea henryi,0.546
Castanea henryi,0.536
Castanea mollissima,0.593
Castanea mollissima,0.559
Castanea mollissima,0.57
Castanea sativa,0.52
Castanea sativa,0.44
Castanea sativa,0.43
Castanea seguinii,0.492
Castanea seguinii,0.538
Castanea seguinii,0.462
Castanea seguinii,0.549
Castanopsis acuminatissima,0.59
Castanopsis acuminatissima,0.577
Castanopsis argentea,0.59
Castanopsis buruana,0.54
Castanopsis carlesii,0.431
Castanopsis carlesii,0.509
Castanopsis carlesii,0.41
Castanopsis carlesii,0.413
Castanopsis chinensis,0.624
Castanopsis chrysophylla,0.42
Castanopsis curtisii,0.61
Castanopsis delavayi,0.716
Castanopsis delavayi,0.65
Castanopsis echinocarpa,0.61
Castanopsis eyrei,0.475
Castanopsis eyrei,0.531
Castanopsis eyrei,0.463
Castanopsis eyrei,0.508
Castanopsis fabri,0.517
Castanopsis fabri,0.483
Castanopsis fargesii,0.474
Castanopsis fargesii,0.525
Castanopsis fargesii,0.46
Castanopsis fissa,0.446
Castanopsis fissa,0.446
Castanopsis fissa,0.49
Castanopsis fissa,0.416
Castanopsis fissa,0.425
Castanopsis fordii,0.465
Castanopsis fordii,0.45
Castanopsis formosana,0.68
Castanopsis hainanensis,0.678
Castanopsis hainanensis,0.634
Castanopsis hainanensis,0.63
Castanopsis hullettii,0.58
Castanopsis hystrix,0.631
Castanopsis hystrix,0.48
Castanopsis hystrix,0.584
Castanopsis indica,0.577
Castanopsis indica,0.583
Castanopsis indica,0.603
Castanopsis indica,0.62
Castanopsis inermis,0.55
Castanopsis javanica,0.55
Castanopsis javanica,0.5
Castanopsis kawakamii,0.59
Castanopsis lamontii,0.489
Castanopsis lamontii,0.469
Castanopsis lucida,0.53
Castanopsis malaccensis,0.6
Castanopsis megacarpa,0.61
Castanopsis megacarpa,0.65
Castanopsis mottleyana,0.81
Castanopsis mottleyana,0.48
Castanopsis nephelioides,0.52
Castanopsis orthacantha,0.53
Castanopsis pachycarpa,0.69
Castanopsis philippinensis,0.66
Castanopsis platyacantha,0.4
Castanopsis rhamnifolia,0.65
Castanopsis sclerophylla,0.437
Castanopsis sclerophylla,0.512
Castanopsis sclerophylla,0.428
Castanopsis scortechinii,0.62
Castanopsis sumatrana,0.78
Castanopsis tibetana,0.536
Castanopsis tribuloides,0.51
Castanopsis tribuloides,0.68
Castanopsis tungurrut,0.61
Castanospermum australe,0.596
Castanospermum australe,0.65
Castanospermum australe,0.63
Castanospora alphandii,0.607
Castilla elastica,0.315
Castilla elastica,0.82
Casuarina cristata,0.994
Casuarina cristata,0.935
Casuarina cristata,0.994
Casuarina cunninghamiana,0.615
Casuarina cunninghamiana,0.771
Casuarina cunninghamiana,0.71
Casuarina equisetifolia,0.63
Casuarina equisetifolia,0.827
Casuarina equisetifolia,0.96
Casuarina equisetifolia,0.79
Casuarina equisetifolia,0.84
Casuarina equisetifolia,0.83
Casuarina equisetifolia,0.835
Casuarina equisetifolia,0.758
Casuarina glauca,0.827
Casuarina glauca,0.71
Casuarina junghuhniana,0.9
Casuarina nodiflora,0.85
Casuarina oligodon,0.7
Casuarina papuana,0.835
Casuarina pauper,1.102
Casuarina pauper,0.843
