site,sp,dbh
1,Cecropia obtusifolia,13.7
1,Inga pezizifera,16
1,Conostegia micranta,7.6
1,Pterocarpus rohrii,24.4
1,Rauvolfia purpurascens,11.1
1,Inga thibaudiana,28.1
1,Naucleopsis naga,7.3
1,Brosimum guianensis,12.1
1,Euterpe precatoria,9.5
1,Iriartea deltoidea,16
1,Coussarea hondensis,11.9
1,Miconia multispicata,22.1
1,Guatteria diospyroides,7.1
1,Protium costaricense,7
1,Iriartea deltoidea,9.3
1,Inga acuminata,8.4
1,Miconia appendiculata,7.5
1,Cordia bicolor,14.5
1,Cecropia insignis,16.8
1,Inga punctata,24.9
1,Iriartea deltoidea,13.4
1,Iriartea deltoidea,17.5
1,Miconia smaragdina,6.1
1,Welfia regia,17.2
1,Minquartia guianensis,33.2
1,Warszewiczia coccinea,11.9
1,Coussarea hondensis,11
1,Colubrina spinosa,15.3
1,Lonchocarpus oliganthus,8.3
1,Guatteria aeruginosa,31.5
1,Prestoea decurrens,5.8
1,Lozania pittieri,7.1
1,Hyeronima alchorneoides,26.6
1,Prestoea decurrens,5.1
1,Iriartea deltoidea,15.6
1,Prestoea decurrens,5.4
1,Naucleopsis naga,6.8
1,Miconia multispicata,7.8
1,Pentaclethra macroloba,28.7
1,Welfia regia,19.7
1,Casearia arborea,9.6
1,Euterpe precatoria,6.5
1,Pentaclethra macroloba,45.8
1,Carapa nicaraguensis,42.5
1,Pentaclethra macroloba,55.8
1,Socratea exorrhiza,15.2
1,Rinorea deflexiflora,7.3
1,Coussarea hondensis,8.7
1,Prestoea decurrens,6.5
1,Byrsonima crispa,8
1,Prestoea decurrens,5.4
1,Prestoea decurrens,6.3
1,Colubrina spinosa,18.4
1,Coussarea hondensis,12.8
1,Siparuna pauciflora,6.9
1,Welfia regia,15.6
1,Iriartea deltoidea,9.6
1,Iriartea deltoidea,18.5
1,Iriartea deltoidea,18.5
1,Otoba novogranatensis,8.3
1,Guarea guidonia,57.1
1,Ardisia fimbrillifera,15.2
1,Iriartea deltoidea,18
1,Ampelocera macrocarpa,29.3
1,Carapa nicaraguensis,6.4
1,Inga thibaudiana,24.8
1,Tapirira myriantha,13
1,Hampea appendiculata,26.6
1,Hampea appendiculata,17.2
1,Hernandia didymantha,30.4
1,Lozania pittieri,8.4
1,Jacaratia dolichaula,9.2
1,Pentaclethra macroloba,6.8
1,Laetia procera,13.5
1,Clethra mexicana,16.2
1,Clethra mexicana,14.3
1,Inga punctata,12.8
1,Coussarea hondensis,7.2
1,Pentaclethra macroloba,5.4
1,Ampelocera macrocarpa,5.3
1,Cespedesia spathulata,9.3
1,Peschiera arborea,6.9
1,Coussarea hondensis,7.7
1,Goethalsia meiantha,40.6
1,Rauvolfia purpurascens,8.5
1,Hernandia didymantha,17.2
1,Coussarea hondensis,10
1,Hernandia didymantha,6
1,Iriartea deltoidea,13.6
1,Eugenia sarapiquensis,7.6
1,Cassipourea elliptica,11.3
1,Coussarea talamancana,5.3
1,Rauvolfia purpurascens,24.6
1,Pentaclethra macroloba,47.5
1,Andira inermis,11.1
1,Coussarea hondensis,11.3
1,Iriartea deltoidea,20
1,Coussarea hondensis,6.5
1,Pentaclethra macroloba,8.9
1,Pholidostachys pulchra,5.1
1,Dussia macroprophyllata,21.3
1,Xylopia bocatorena,8.2
1,Coussarea hondensis,8.7
1,Virola koschnyi,7.3
1,Andira inermis,6.4
1,Pterocarpus rohrii,32.7
1,Pentaclethra macroloba,21.2
1,Welfia regia,18.9
1,Iriartea deltoidea,17.6
1,Andira inermis,9.2
1,Pentaclethra macroloba,43.5
1,Rauvolfia purpurascens,12
1,Rauvolfia purpurascens,11.6
1,Pentaclethra macroloba,73
1,Coussarea hondensis,6.6
1,Coussarea hondensis,11
1,Coussarea hondensis,10.9
1,Coussarea hondensis,10.5
1,Sacoglottis trichogyna,95.6
1,Prestoea decurrens,5.5
1,Coussarea hondensis,12.7
1,Dendropanax arboreus,42.2
1,Virola koschnyi,7.6
1,Socratea exorrhiza,10.4
