plot,sp,dbh
BSP104,Calophyllum polyanthum,51.56620156
BSP104,Calophyllum polyanthum,51.88451145
BSP104,Calophyllum polyanthum,52.52113122
BSP104,Calophyllum polyanthum,52.83944111
BSP104,Calophyllum polyanthum,54.74930042
BSP104,Calophyllum polyanthum,55.70423008
BSP104,Calophyllum polyanthum,57.6140894
BSP104,Calophyllum polyanthum,58.25070917
BSP104,Calophyllum polyanthum,58.25070917
BSP104,Calophyllum polyanthum,60.79718826
BSP104,Calophyllum polyanthum,61.75211792
BSP104,Calophyllum polyanthum,63.66197724
BSP104,Calophyllum polyanthum,63.66197724
BSP104,Calophyllum polyanthum,70.02817496
BSP104,Calophyllum polyanthum,76.39437268
BSP104,Calophyllum polyanthum,82.12395064
BSP104,Calophyllum polyanthum,97.08451529
BSP104,Calophyllum polyanthum,114.591559
BSP104,Canarium strictum,33.42253805
BSP104,Casearia ovata,3.819718634
BSP104,Casearia ovata,6.366197724
BSP104,Cassia fistula,21.00845249
BSP104,Celastrus paniculatus,5.092958179
BSP104,Celastrus paniculatus,6.366197724
BSP104,Celastrus paniculatus,6.366197724
BSP104,Celastrus paniculatus,6.366197724
BSP104,Celastrus paniculatus,8.594366927
BSP104,Celastrus paniculatus,11.14084602
BSP104,Celtis philippensis,10.50422624
BSP104,Celtis philippensis,32.78591828
BSP104,Celtis philippensis,43.92676429
BSP104,Chrysophyllum lanceolatum,4.13802852
BSP104,Clausena indica,5.411268065
BSP104,Clausena indica,5.729577951
BSP104,Combretum latifolium,9.867606472
BSP104,Combretum latifolium,13.68732511
BSP104,Connarus wightii,4.13802852
BSP104,Connarus wightii,6.366197724
BSP104,Connarus wightii,6.366197724
BSP104,Connarus wightii,6.366197724
BSP104,Connarus wightii,6.366197724
BSP104,Connarus wightii,6.68450761
BSP104,Connarus wightii,7.957747155
BSP104,Connarus wightii,7.957747155
BSP104,Connarus wightii,8.912676813
BSP104,Connarus wightii,9.549296586
BSP104,Connarus wightii,9.867606472
BSP104,Cryptocarya wightiana,3.819718634
BSP104,Cryptocarya wightiana,5.729577951
BSP104,Cryptocarya wightiana,6.366197724
BSP104,Cryptocarya wightiana,6.366197724
BSP104,Cryptocarya wightiana,6.366197724
BSP104,Cryptocarya wightiana,7.002817496
BSP104,Cryptocarya wightiana,23.23662169
BSP104,Dalbergia latifolia,38.19718634
BSP104,Desmos lawii,5.729577951
BSP104,Desmos lawii,6.366197724
BSP104,Dichapetalum gelonioides,3.819718634
BSP104,Dichapetalum gelonioides,3.819718634
BSP104,Dichapetalum gelonioides,3.819718634
